timestamp,simulation_time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,attitude_roll,attitude_pitch,attitude_yaw,angular_velocity_x,angular_velocity_y,angular_velocity_z,acceleration_x,acceleration_y,acceleration_z,motor_speed_1,motor_speed_2,motor_speed_3,motor_speed_4,control_throttle,control_roll,control_pitch,control_yaw,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,estimated_attitude_roll,estimated_attitude_pitch,estimated_attitude_yaw,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_gyro_z,sensor_gps_x,sensor_gps_y,sensor_gps_z,sensor_gps_vx,sensor_gps_vy,sensor_gps_vz,sensor_baro_altitude,sensor_mag_x,sensor_mag_y,sensor_mag_z,flight_mode,battery_level,gps_fix,waypoint_index,mission_complete,setpoint_altitude,setpoint_position_x,setpoint_position_y,setpoint_position_z,position_error,attitude_error
1760882709.6616292,7.033358573913574,-7.752046985454783e-07,3.2493653339941504e-08,74.91503560807804,-3.6859070917156046e-07,1.8356852072469577e-08,12.13024845623034,0.0010540082698923348,0.019867591085139507,-4.214936377753344e-05,,,,,,,,,,,0.0,-0.1979320096314072,1.0,-0.04875253494063091,1.9574851381719758,-0.5795166288728543,75.16383970362533,0.051172067028368,0.01805020135891286,12.126163959954013,0.001018462243750956,0.018751342617015155,0.042259289811772134,,,,,,,,,,,,,,,,,auto,85.0,True,0,False,-10,15.0,0.0,-10.0,86.15870604012653,0.04624389355015409
1760882709.7694542,7.141183614730835,-8.175044204588656e-07,3.4614301907442683e-08,76.22925547236693,-4.574608710225695e-07,2.319887464636094e-08,12.130289567039922,0.0010896257295791272,0.02047998960791664,-4.377381609611814e-05,,,,,,,,,,,1.0,-0.9475076692406822,-1.0,-0.06415885861602935,1.8475214257479808,-1.0565527492936615,76.08014801273112,0.004260627419487282,0.009500407099583993,12.107150633610587,0.003566692831488898,0.018471575606148562,0.022969221415298877,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,86.10645458398768,0.029690158900768475
1760882709.8781302,7.249859571456909,-8.767329110458327e-07,3.7644888815399113e-08,77.54139096944779,-6.33222955124622e-07,3.2558716592484124e-08,12.130319891820864,0.0010970305235487431,0.021062959871681504,-4.616339355440727e-05,,,,,,,,,,,1.0,-0.755816225634858,-1.0,0.12559955353453972,1.848159769521613,-1.0553412927283559,77.67317635248072,0.008785582970423313,0.01320645436896349,12.107013768504954,0.006584199908664356,0.015403878482876934,-0.08066327301994201,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,87.6990039368236,0.08238443284408893
1760882709.987048,7.358777284622192,-9.539410979259453e-07,4.161557359983839e-08,78.86261939801281,-7.760835611795142e-07,3.9846784099590286e-08,12.130346643536853,0.0010789943157586421,0.021613075075025575,-4.9382759745480716e-05,,,,,,,,,,,1.0,-0.32408843442212915,-1.0,-0.00453374746022425,1.7318795259540485,-0.6216455123391512,78.60984661792897,0.03672251452446218,0.018509733966100974,12.131301642535911,0.008654152340448125,0.01574694437581718,-0.006975722988844142,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,88.62894994012017,0.019274888355678033
1760882710.0936174,7.465346813201904,-1.0437048994752066e-06,4.620201041212429e-08,80.16146275275861,-9.012995284356041e-07,4.5774320813274085e-08,12.130369075830112,0.0010475990615324382,0.022118388546859394,-5.304773444508371e-05,,,,,,,,,,,1.0,-0.3691420040360798,-1.0,-0.26182396913866623,1.7361985915322664,-0.6193674946048489,79.87404367952432,0.044384741688787414,0.024411608043407862,12.129981905998786,0.010692257030508032,0.016647797057358586,0.13417286552853705,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,89.89294593543843,0.1356238598160675
1760882710.19975,7.571479320526123,-1.1444113260679105e-06,5.127826442114625e-08,81.44889031467808,-9.840753794118452e-07,4.923803404022017e-08,12.130389318954473,0.0010066312619372256,0.022586407252847735,-5.707449054165903e-05,,,,,,,,,,,1.0,0.18871968531922326,-0.7305236133422168,0.09292940442270821,1.2427911491632184,0.0734737041130629,81.0629174748862,0.025042302525645748,0.033357641836307475,12.156012151820715,0.01179049130341859,0.01855855738570008,-0.042464189067137184,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,91.07142728245545,0.04781885706020048
1760882710.3511353,7.722864627838135,-1.2996431658004724e-06,5.894101648123546e-08,83.27306176766017,-1.0813218445386627e-06,5.2608875690669184e-08,12.130413203745274,0.0009597500087596731,0.023205721481275882,-6.239460819291382e-05,,,,,,,,,,,1.0,0.10134901267582888,-0.7933906481961344,0.06751672893039926,1.2473858273299814,0.0797002022412923,83.15672918470581,0.03736890219065373,0.04859381839943143,12.155939883488369,0.014579012153816476,0.01512546444346418,-0.04035230339216322,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,93.1651142644986,0.04549324849980286
1760882710.4591465,7.830875873565674,-1.4211663604221894e-06,6.478051698929117e-08,84.58928181396303,-1.1691032891303066e-06,5.539678652463261e-08,12.130426286771181,0.0009308459483993,0.02361886138116039,-6.60747284418169e-05,,,,,,,,,,,1.0,0.6852168263535583,-1.0,-0.17537906895904604,2.0916392907596904,0.7834938635303557,84.52772686132066,0.045469456699548876,0.010829519550831371,12.22567064042017,0.015143027256807395,0.02168137492102276,0.09294725266070433,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,94.55411129678753,0.09663635480573124
1760882710.566364,7.938093423843384,-1.5538479981110084e-06,7.096678144078261e-08,85.89607183709522,-1.288234534007013e-06,5.919452034211471e-08,12.130435754372074,0.0009204954181890128,0.023997149425685094,-6.918081537379656e-05,,,,,,,,,,,1.0,0.6836828415535586,-0.842381655849918,-0.15537426913491767,1.276309257060963,0.9667124514810413,85.6426426840855,0.04315117480803625,0.02577125763196706,12.211316470505137,0.014268398115401858,0.021488734813994693,0.08463667593675385,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,95.65604318535846,0.08848005324540034
1760882710.6755276,8.04725694656372,-1.6962758002549498e-06,7.744714263333494e-08,87.21408150437136,-1.3258501457990343e-06,5.980627770384303e-08,12.130446777851478,0.0009296309761323153,0.024354411241117625,-7.183746942682621e-05,,,,,,,,,,,1.0,0.4623964400705346,0.3731226899601405,0.07903260182415607,-0.08164904969773071,0.7835077744040299,86.69705914163276,0.031143134643832938,0.009614576415046273,12.185388694681587,0.01504339015391824,0.023667761348664176,-0.022189826288587997,,,,,,,,,,,,,,,,,return_to_launch,85.0,True,0,False,-10,0.0,0.0,-10.0,96.70026782610424,0.03576108087429737
